Task Id,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1-score
HumanEval/0,3.56,3.56,3.56
HumanEval/1,2.333333333333333,2.875,2.5584415584415585
HumanEval/2,5.0,5.0,5.0
HumanEval/3,2.8461538461538463,4.2,3.3414634146341466
HumanEval/4,2.333333333333333,3.75,2.795918367346939
HumanEval/5,3.0,4.238095238095238,3.4727272727272727
HumanEval/6,2.688888888888889,2.7272727272727275,2.707865168539326
HumanEval/7,3.0,3.2222222222222223,3.1052631578947367
HumanEval/8,1.6153846153846154,2.6,1.8888888888888888
HumanEval/9,1.5853658536585367,3.1818181818181817,1.923076923076923
HumanEval/10,4.454545454545455,4.304347826086957,4.377777777777778
HumanEval/11,2.185185185185185,3.1333333333333333,2.5238095238095237
HumanEval/12,2.3658536585365857,3.4347826086956523,2.75
HumanEval/13,4.555555555555555,2.333333333333333,2.9393939393939394
HumanEval/14,4.0,4.6,4.272727272727273
HumanEval/15,3.1538461538461537,5.0,3.8000000000000003
HumanEval/16,1.75,3.4,2.142857142857143
HumanEval/17,2.6,2.75,2.6716417910447765
HumanEval/18,2.333333333333333,4.0588235294117645,2.857142857142857
HumanEval/19,2.9591836734693877,3.6666666666666665,3.2588235294117647
HumanEval/20,2.509433962264151,3.2857142857142856,2.8181818181818183
HumanEval/21,1.5,2.263157894736842,1.716417910447761
HumanEval/22,1.6956521739130435,2.7777777777777777,2.0
HumanEval/23,5.0,5.0,5.0
HumanEval/24,3.2,3.933333333333333,3.5142857142857142
HumanEval/25,2.7333333333333334,2.625,2.67741935483871
HumanEval/26,2.7391304347826084,2.25,2.4545454545454546
HumanEval/27,1.2962962962962963,2.0,1.457142857142857
HumanEval/28,5.0,5.0,5.0
HumanEval/29,2.2,2.333333333333333,2.263157894736842
HumanEval/30,1.5714285714285714,2.0,1.7272727272727273
HumanEval/31,2.688888888888889,3.235294117647059,2.924050632911392
HumanEval/32,1.851063829787234,1.784313725490196,1.816326530612245
HumanEval/33,2.7391304347826084,3.5,3.051282051282051
HumanEval/34,2.7777777777777777,5.0,3.4615384615384612
HumanEval/35,2.5,5.0,3.1818181818181817
HumanEval/36,3.4,3.6666666666666665,3.526315789473684
HumanEval/37,2.7872340425531914,3.625,3.126582278481013
HumanEval/38,3.3859649122807016,4.777777777777778,3.924731182795699
HumanEval/39,2.587301587301587,1.8403361344537816,2.098901098901099
HumanEval/40,2.5319148936170213,2.8461538461538463,2.674418604651163
HumanEval/41,1.9230769230769231,5.0,2.5
HumanEval/42,3.3333333333333335,5.0,3.9473684210526314
HumanEval/43,4.666666666666666,4.52,4.591836734693878
HumanEval/44,2.857142857142857,3.888888888888889,3.2608695652173916
HumanEval/45,3.4,4.0,3.666666666666666
HumanEval/46,3.4150943396226414,3.6122448979591835,3.509803921568627
HumanEval/47,2.793103448275862,2.793103448275862,2.793103448275862
HumanEval/48,2.7777777777777777,5.0,3.4615384615384612
HumanEval/49,2.4545454545454546,1.6666666666666665,1.9142857142857144
HumanEval/50,3.8,4.5,4.111111111111111
HumanEval/51,1.8888888888888888,2.4545454545454546,2.103448275862069
HumanEval/52,2.6,4.0,3.086956521739131
HumanEval/53,5.0,5.0,5.0
HumanEval/54,2.0,3.4,2.4117647058823533
HumanEval/55,3.1904761904761907,4.407407407407407,3.666666666666667
HumanEval/56,2.2857142857142856,2.6363636363636367,2.4400000000000004
HumanEval/57,2.888888888888889,3.193548387096774,3.0298507462686564
HumanEval/58,2.1764705882352944,3.5,2.6
HumanEval/59,3.1818181818181817,2.142857142857143,2.5
HumanEval/60,2.4545454545454546,4.2,3.0000000000000004
HumanEval/61,2.2857142857142856,2.6363636363636367,2.4400000000000004
HumanEval/62,5.0,5.0,5.0
HumanEval/63,2.7254901960784315,3.5142857142857142,3.046511627906977
HumanEval/64,1.8,2.5652173913043477,2.0588235294117645
HumanEval/65,2.212121212121212,2.428571428571429,2.3114754098360653
HumanEval/66,2.2,3.1818181818181817,2.548387096774193
HumanEval/67,1.5853658536585367,2.0434782608695654,1.75
HumanEval/68,2.3,2.4857142857142858,2.3866666666666667
HumanEval/69,2.6363636363636367,3.1176470588235294,2.8461538461538463
HumanEval/70,2.6296296296296298,2.128205128205128,2.3333333333333335
HumanEval/71,2.7142857142857144,3.3225806451612905,2.9726027397260273
HumanEval/72,2.473684210526316,4.5,3.074074074074074
HumanEval/73,2.2222222222222223,2.9130434782608696,2.4915254237288136
HumanEval/74,1.7826086956521738,2.5652173913043477,2.0434782608695654
HumanEval/75,2.4925373134328357,2.7857142857142856,2.6260162601626016
HumanEval/76,3.142857142857143,2.4634146341463414,2.7391304347826084
HumanEval/77,2.8823529411764706,3.909090909090909,3.2857142857142856
HumanEval/78,1.3076923076923077,1.8,1.4444444444444444
HumanEval/79,2.142857142857143,3.6666666666666665,2.6
HumanEval/80,4.6,5.0,4.7894736842105265
HumanEval/81,2.838709677419355,3.561797752808989,3.140845070422535
HumanEval/82,1.9285714285714286,2.857142857142857,2.238095238095238
HumanEval/83,1.625,3.0,1.9523809523809523
HumanEval/84,2.263157894736842,2.8461538461538463,2.5
HumanEval/85,3.9565217391304346,4.4,4.162790697674419
HumanEval/86,1.8571428571428572,2.4117647058823533,2.0666666666666664
HumanEval/87,2.302325581395349,3.1538461538461537,2.6231884057971016
HumanEval/88,2.333333333333333,3.769230769230769,2.8
HumanEval/89,1.5,1.6956521739130435,1.5818181818181818
HumanEval/90,2.333333333333333,2.8181818181818183,2.5384615384615383
HumanEval/91,2.428571428571429,2.9047619047619047,2.63265306122449
HumanEval/92,2.7894736842105265,3.6153846153846154,3.125
HumanEval/93,1.972972972972973,1.6101694915254239,1.75
HumanEval/94,2.0555555555555554,2.6521739130434785,2.288135593220339
HumanEval/95,2.4,2.4,2.4
HumanEval/96,2.083333333333333,2.7333333333333334,2.3333333333333335
HumanEval/97,2.2,2.333333333333333,2.263157894736842
HumanEval/98,3.0689655172413794,4.157894736842105,3.5
HumanEval/99,2.9259259259259256,2.793103448275862,2.857142857142857
HumanEval/100,2.037037037037037,3.0,2.3658536585365852
HumanEval/101,2.8666666666666667,3.3333333333333335,3.0740740740740744
HumanEval/102,2.2413793103448274,2.44,2.333333333333333
HumanEval/103,3.1818181818181817,4.6923076923076925,3.7428571428571424
HumanEval/104,1.9696969696969697,2.391304347826087,2.1428571428571432
HumanEval/105,2.862068965517241,2.52112676056338,2.674418604651163
HumanEval/106,2.8461538461538463,2.5652173913043477,2.6941176470588237
HumanEval/107,2.833333333333333,3.5142857142857142,3.1204819277108435
HumanEval/108,1.9230769230769231,1.8372093023255816,1.878048780487805
HumanEval/109,2.942857142857143,3.4285714285714284,3.1587301587301586
HumanEval/110,1.8,2.290322580645161,1.9876543209876543
HumanEval/111,2.583333333333333,2.7272727272727275,2.6521739130434785
HumanEval/112,1.425531914893617,2.333333333333333,1.6451612903225805
HumanEval/113,1.9523809523809523,2.0,1.975609756097561
HumanEval/114,2.161290322580645,2.125,2.1428571428571432
HumanEval/115,2.166666666666667,3.0,2.473684210526316
HumanEval/116,2.217391304347826,1.56,1.7671232876712328
HumanEval/117,2.1578947368421053,2.5172413793103448,2.3134328358208958
HumanEval/118,3.6341463414634148,3.5714285714285716,3.6024096385542173
HumanEval/119,2.3043478260869565,2.3043478260869565,2.3043478260869565
HumanEval/120,2.333333333333333,3.0,2.6
HumanEval/121,3.8,3.9473684210526314,3.871794871794872
HumanEval/122,1.7619047619047619,2.142857142857143,1.9142857142857141
HumanEval/123,2.4814814814814814,2.333333333333333,2.4035087719298245
HumanEval/124,2.1,2.76,2.353846153846154
HumanEval/125,3.3529411764705883,2.8604651162790695,3.0779220779220777
HumanEval/126,2.142857142857143,2.4814814814814814,2.290322580645161
HumanEval/127,1.9777777777777779,2.76,2.257142857142857
HumanEval/128,2.333333333333333,2.571428571428571,2.442622950819672
HumanEval/129,2.015873015873016,2.5238095238095237,2.219047619047619
HumanEval/130,3.1481481481481484,3.697674418604651,3.391752577319588
HumanEval/131,2.333333333333333,2.793103448275862,2.5294117647058822
HumanEval/132,1.9655172413793105,1.5833333333333335,1.7272727272727275
HumanEval/133,2.263157894736842,3.0,2.5483870967741935
HumanEval/134,2.375,3.2,2.6923076923076925
HumanEval/135,3.074074074074074,3.8,3.3829787234042556
HumanEval/136,1.9629629629629628,2.793103448275862,2.253012048192771
HumanEval/137,1.5614035087719298,3.2857142857142856,1.9014084507042255
HumanEval/138,1.3225806451612903,3.857142857142857,1.5797101449275361
HumanEval/139,2.2857142857142856,3.1176470588235294,2.5999999999999996
HumanEval/140,1.5185185185185186,2.6470588235294117,1.788732394366197
HumanEval/141,3.0392156862745097,2.8909090909090907,2.9622641509433962
HumanEval/142,3.0,3.5185185185185186,3.2295081967213113
HumanEval/143,1.8695652173913042,2.7142857142857144,2.1538461538461537
HumanEval/144,2.090909090909091,3.0,2.411764705882353
HumanEval/145,1.8484848484848486,1.5957446808510638,1.7
HumanEval/146,2.5789473684210527,2.935483870967742,2.7391304347826084
HumanEval/147,1.5283018867924527,1.717948717948718,1.608695652173913
HumanEval/148,3.1016949152542375,3.9523809523809526,3.455445544554456
HumanEval/149,1.8,1.8,1.8000000000000003
HumanEval/150,2.1147540983606556,3.193548387096774,2.4782608695652173
HumanEval/151,3.142857142857143,3.608695652173913,3.3529411764705883
HumanEval/152,3.0869565217391304,5.0,3.7428571428571424
HumanEval/153,2.423728813559322,2.8666666666666667,2.615384615384615
HumanEval/154,2.5238095238095237,2.185185185185185,2.333333333333333
