Task Id,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1-score
HumanEval/0,5.0,4.2,4.555555555555555
HumanEval/1,1.7727272727272727,3.125,2.1333333333333337
HumanEval/2,5.0,5.0,5.0
HumanEval/3,4.333333333333334,5.0,4.636363636363637
HumanEval/4,3.56,5.0,4.121951219512194
HumanEval/5,2.428571428571429,1.9523809523809523,2.142857142857143
HumanEval/6,1.75,1.5454545454545454,1.631578947368421
HumanEval/7,3.0,3.2222222222222223,3.1052631578947367
HumanEval/8,2.333333333333333,3.4,2.7142857142857144
HumanEval/9,1.8333333333333335,2.8181818181818183,2.1428571428571432
HumanEval/10,1.9189189189189189,3.9565217391304346,2.402061855670103
HumanEval/11,1.972972972972973,3.4,2.3846153846153846
HumanEval/12,3.1666666666666665,3.260869565217391,3.2127659574468086
HumanEval/13,3.909090909090909,2.333333333333333,2.8285714285714287
HumanEval/14,2.5,3.4,2.846153846153846
HumanEval/15,3.4,4.428571428571429,3.8235294117647056
HumanEval/16,1.1777777777777778,2.6,1.3199999999999998
HumanEval/17,1.9454545454545453,2.625,2.195402298850575
HumanEval/18,1.9090909090909092,2.1764705882352944,2.0256410256410255
HumanEval/19,1.606060606060606,1.5555555555555556,1.5797101449275361
HumanEval/20,2.4035087719298245,3.2857142857142856,2.7391304347826084
HumanEval/21,1.8235294117647058,2.473684210526316,2.0566037735849054
HumanEval/22,3.857142857142857,3.2222222222222223,3.5000000000000004
HumanEval/23,5.0,5.0,5.0
HumanEval/24,4.466666666666667,4.466666666666667,4.466666666666667
HumanEval/25,2.6153846153846154,3.625,3.0000000000000004
HumanEval/26,3.6666666666666665,2.25,2.702127659574468
HumanEval/27,3.6666666666666665,2.0,2.4545454545454546
HumanEval/28,5.0,5.0,5.0
HumanEval/29,2.2,2.333333333333333,2.263157894736842
HumanEval/30,1.8888888888888888,2.0,1.9411764705882353
HumanEval/31,2.8536585365853657,3.235294117647059,3.026666666666667
HumanEval/32,1.48,1.4705882352941178,1.4752475247524752
HumanEval/33,2.433962264150943,3.375,2.788235294117647
HumanEval/34,5.0,5.0,5.0
HumanEval/35,5.0,5.0,5.0
HumanEval/36,2.625,2.9259259259259256,2.7627118644067794
HumanEval/37,2.6842105263157894,3.0,2.8285714285714283
HumanEval/38,3.6666666666666665,4.555555555555555,4.0476190476190474
HumanEval/39,2.686274509803922,2.4453781512605044,2.5565610859728505
HumanEval/40,2.52,2.948717948717949,2.707865168539326
HumanEval/41,1.0305343511450382,2.333333333333333,1.0597014925373134
HumanEval/42,3.857142857142857,3.857142857142857,3.857142857142857
