Task Id,CodeBERTScore Precision,CodeBERTScore Recall,CodeBERTScore F1-score,CodeBERTScore F3-score
HumanEval/0,4.6249823570251465,4.552826404571533,4.588541746139526,4.559912919998169
HumanEval/1,4.330800533294678,4.471584320068359,4.399735689163208,4.456972599029541
HumanEval/2,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/3,4.924030303955078,4.924030303955078,4.924030303955078,4.924030065536499
HumanEval/4,4.012250185012817,4.616352796554565,4.286773681640625,4.545253276824951
HumanEval/5,4.712615013122559,4.7967610359191895,4.75421667098999,4.788175106048584
HumanEval/6,4.4120917320251465,4.330882787704468,4.37099814414978,4.338829517364502
HumanEval/7,4.178094863891602,4.254770040512085,4.215975522994995,4.246936559677124
HumanEval/8,4.0489654541015625,4.398041725158691,4.214053153991699,4.359577894210815
HumanEval/9,3.7635385990142822,3.9100682735443115,3.8349111080169678,3.8947198390960693
HumanEval/10,4.712847948074341,4.776046276092529,4.74418044090271,4.769629716873169
HumanEval/11,3.838757276535034,4.3010149002075195,4.052484512329102,4.2481231689453125
HumanEval/12,4.495130777359009,4.576518297195435,4.535356283187866,4.568209409713745
HumanEval/13,4.469568252563477,4.029503107070923,4.2346367835998535,4.0684216022491455
HumanEval/14,4.282005310058594,4.614611387252808,4.440287828445435,4.578347444534302
HumanEval/15,3.838242530822754,4.111398458480835,3.9685497283935547,4.081739664077759
HumanEval/16,4.1255881786346436,4.508936405181885,4.306187391281128,4.466421604156494
HumanEval/17,4.288822889328003,4.324950933456421,4.306788206100464,4.321302652359009
HumanEval/18,4.2560670375823975,4.362351894378662,4.308356046676636,4.351412296295166
HumanEval/19,4.173527240753174,4.467048645019531,4.313801050186157,4.435275554656982
HumanEval/20,4.1519341468811035,4.470292568206787,4.3034608364105225,4.435591459274292
HumanEval/21,3.890608310699463,4.095796346664429,3.9896857738494873,4.0739758014678955
HumanEval/22,3.7031872272491455,4.028095483779907,3.856431722640991,3.992131471633911
HumanEval/23,3.782731771469116,4.157510995864868,3.958298444747925,4.115550756454468
HumanEval/24,4.146359920501709,4.667654991149902,4.387067079544067,4.607879161834717
HumanEval/25,4.4950339794158936,4.3756420612335205,4.434300899505615,4.3872129917144775
