Task Id,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1-score
HumanEval/0,3.3076923076923075,3.4,3.3529411764705883
HumanEval/1,2.7272727272727275,3.375,3.0
HumanEval/2,5.0,5.0,5.0
HumanEval/3,4.2,4.2,4.200000000000001
HumanEval/4,2.0212765957446805,4.0,2.5238095238095237
HumanEval/5,3.6,3.4761904761904763,3.5365853658536586
HumanEval/6,2.5238095238095237,2.4545454545454546,2.488372093023256
HumanEval/7,1.8571428571428572,2.333333333333333,2.0434782608695654
HumanEval/8,2.090909090909091,3.4,2.5
HumanEval/9,1.5161290322580645,2.4545454545454546,1.7619047619047619
HumanEval/10,4.076923076923077,4.478260869565217,4.26530612244898
HumanEval/11,1.9696969696969697,3.1333333333333333,2.333333333333333
HumanEval/12,2.92,3.0869565217391304,2.9999999999999996
HumanEval/13,4.555555555555555,2.333333333333333,2.9393939393939394
HumanEval/14,2.6,3.4,2.92
HumanEval/15,1.7619047619047619,3.2857142857142856,2.142857142857143
HumanEval/16,1.9230769230769231,3.4,2.3333333333333335
HumanEval/17,2.888888888888889,3.125,2.9999999999999996
HumanEval/18,2.5294117647058822,4.0588235294117645,3.0392156862745097
HumanEval/19,2.811320754716981,3.6666666666666665,3.157303370786517
HumanEval/20,2.5737704918032787,3.742857142857143,3.0
HumanEval/21,1.4912280701754386,2.473684210526316,1.736842105263158
HumanEval/22,1.2962962962962963,1.8888888888888888,1.4444444444444444
HumanEval/23,1.4444444444444444,2.333333333333333,1.6666666666666665
HumanEval/24,2.793103448275862,4.466666666666667,3.3636363636363638
HumanEval/25,3.1538461538461537,2.75,2.931034482758621
HumanEval/26,3.1333333333333333,3.0,3.0645161290322585
HumanEval/27,1.1666666666666667,1.5,1.25
HumanEval/28,1.4444444444444444,2.333333333333333,1.6666666666666665
HumanEval/29,1.8571428571428572,2.333333333333333,2.0434782608695654
HumanEval/30,1.25,1.5,1.3333333333333333
HumanEval/31,2.8536585365853657,3.235294117647059,3.026666666666667
HumanEval/32,1.6923076923076923,1.7058823529411766,1.6990291262135924
HumanEval/33,2.5454545454545454,3.125,2.7894736842105265
HumanEval/34,4.2,5.0,4.555555555555555
HumanEval/35,1.4444444444444444,5.0,1.7999999999999998
HumanEval/36,3.9565217391304346,3.5185185185185186,3.72
HumanEval/37,2.090909090909091,2.875,2.3793103448275863
HumanEval/38,4.777777777777778,4.777777777777778,4.777777777777778
