Task Id,CodeBERTScore Precision,CodeBERTScore Recall,CodeBERTScore F1-score,CodeBERTScore F3-score
HumanEval/0,4.648223400115967,4.5300376415252686,4.588157653808594,4.541510581970215
HumanEval/1,4.033190727233887,4.142572402954102,4.0869128704071045,4.131280422210693
HumanEval/2,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/3,4.21140193939209,4.712296724319458,4.44373083114624,4.6552839279174805
HumanEval/4,4.184598445892334,4.6998207569122314,4.422930002212524,4.640916109085083
HumanEval/5,4.315342426300049,4.7494215965271,4.5190465450286865,4.700964689254761
HumanEval/6,4.428132057189941,4.442661285400391,4.435381174087524,4.441202640533447
HumanEval/7,4.551278829574585,4.555807828903198,4.553541898727417,4.555354118347168
HumanEval/8,3.804715156555176,4.247745990753174,4.010015964508057,4.197242736816406
HumanEval/9,3.738243579864502,4.003908157348633,3.8649303913116455,3.9750442504882812
HumanEval/10,4.7147417068481445,4.78537130355835,4.7497239112854,4.7781877517700195
HumanEval/11,3.864574670791626,4.283704519271851,4.059853553771973,4.236351728439331
HumanEval/12,4.186945915222168,4.53265905380249,4.350909233093262,4.494748830795288
HumanEval/13,4.488874197006226,4.046864748001099,4.252923011779785,4.085961103439331
HumanEval/14,4.560210227966309,4.787738800048828,4.670451879501343,4.763685703277588
HumanEval/15,4.336871862411499,4.646419525146484,4.484785079956055,4.612903594970703
HumanEval/16,3.9937994480133057,4.464069366455078,4.211811542510986,4.410496950149536
HumanEval/17,4.351934194564819,4.3385536670684814,4.345230340957642,4.339886665344238
HumanEval/18,4.208754777908325,4.332103729248047,4.269266366958618,4.319343328475952
HumanEval/19,4.184273719787598,4.412280321121216,4.294336795806885,4.388020992279053
HumanEval/20,4.079093933105469,4.381774663925171,4.223344087600708,4.3488547801971436
HumanEval/21,3.946302652359009,4.175473213195801,4.056598663330078,4.150964260101318
HumanEval/22,4.039895296096802,4.242351531982422,4.137861251831055,4.220900297164917
HumanEval/23,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/24,3.9590673446655273,4.383850336074829,4.157235383987427,4.335961580276489
HumanEval/25,4.131143569946289,4.390939712524414,4.2558674812316895,4.363036155700684
HumanEval/26,4.341925382614136,4.305466651916504,4.323596000671387,4.309077024459839
HumanEval/27,3.7351441383361816,3.8097708225250244,3.7719552516937256,3.8021254539489746
HumanEval/28,4.985807180404663,4.985807180404663,4.985807180404663,4.985806941986084
HumanEval/29,4.507012844085693,4.5573835372924805,4.532018661499023,4.552281618118286
