Task Id,ROUGE-L Precision,ROUGE-L Recall,ROUGE-L F1-score
HumanEval/0,0.5769230769230769,0.6,0.5882352941176471
HumanEval/1,0.4318181818181818,0.59375,0.5
HumanEval/2,1.0,1.0,1.0
HumanEval/3,0.8,0.8,0.8000000000000002
HumanEval/4,0.2553191489361702,0.75,0.380952380952381
HumanEval/5,0.65,0.6190476190476191,0.6341463414634146
HumanEval/6,0.38095238095238093,0.36363636363636365,0.37209302325581395
HumanEval/7,0.21428571428571427,0.3333333333333333,0.2608695652173913
HumanEval/8,0.2727272727272727,0.6,0.37499999999999994
HumanEval/9,0.12903225806451613,0.36363636363636365,0.19047619047619047
HumanEval/10,0.7692307692307693,0.8695652173913043,0.8163265306122449
HumanEval/11,0.24242424242424243,0.5333333333333333,0.3333333333333333
HumanEval/12,0.48,0.5217391304347826,0.4999999999999999
HumanEval/13,0.8888888888888888,0.3333333333333333,0.48484848484848486
HumanEval/14,0.4,0.6,0.48
HumanEval/15,0.19047619047619047,0.5714285714285714,0.2857142857142857
HumanEval/16,0.23076923076923078,0.6,0.33333333333333337
HumanEval/17,0.4722222222222222,0.53125,0.4999999999999999
HumanEval/18,0.38235294117647056,0.7647058823529411,0.5098039215686274
HumanEval/19,0.4528301886792453,0.6666666666666666,0.5393258426966292
HumanEval/20,0.39344262295081966,0.6857142857142857,0.5
HumanEval/21,0.12280701754385964,0.3684210526315789,0.18421052631578946
HumanEval/22,0.07407407407407407,0.2222222222222222,0.1111111111111111
HumanEval/23,0.1111111111111111,0.3333333333333333,0.16666666666666666
HumanEval/24,0.4482758620689655,0.8666666666666667,0.5909090909090909
HumanEval/25,0.5384615384615384,0.4375,0.4827586206896552
HumanEval/26,0.5333333333333333,0.5,0.5161290322580646
HumanEval/27,0.041666666666666664,0.125,0.0625
HumanEval/28,0.1111111111111111,0.3333333333333333,0.16666666666666666
HumanEval/29,0.21428571428571427,0.3333333333333333,0.2608695652173913
HumanEval/30,0.0625,0.125,0.08333333333333333
HumanEval/31,0.4634146341463415,0.5588235294117647,0.5066666666666667
HumanEval/32,0.17307692307692307,0.17647058823529413,0.1747572815533981
HumanEval/33,0.38636363636363635,0.53125,0.4473684210526316
