task_id,score,human_score
0,4.35,5
1,4.3,5
2,5,5
3,5,5
4,5,5
5,3.95,5
6,4.45,5
7,4.45,4.85
8,5,4.85
9,4.6,5
10,4.35,3.45
11,4.2,4.85
12,5,4.85
13,4.35,4.85
14,4.35,4.85
15,4.35,4.85
16,4.45,4.85
17,4.3,4.85
18,4.35,5
19,4.2,4.85
20,4.45,4.6
21,5,5
22,4.45,5
23,4.6,4.85
24,4.35,4.6
25,4.45,4.85
26,4.4,4.85
27,4.4,4.85
28,4.2,4.6
29,4.55,4.6
30,5,4.85
31,4.35,4.35
32,4.2,2.6
33,4.35,4.4
34,4.6,4.15
35,4.6,4.85
36,4.45,4.35
37,4.35,4.85
38,3.8,3.9
39,4.4,4.45
40,4.6,4.4
41,5,5
42,5,5
43,4.4,4.8
44,5,5
45,5,4.85
46,4.35,4.8
47,4.35,4.55
48,4.35,4.45
49,4.45,4.15
50,4.15,0
51,5,4.8
52,5,4.6
53,5,5
54,4.55,3.55
55,4.35,4.55
56,4.6,5
57,3.75,4.3
58,5,4.8
59,4.2,5
60,4.6,5
61,4.4,4.8
62,3.85,4.65
63,4.6,4.65
64,4.35,4.4
65,5,3.85
66,5,4.85
67,4.45,2.8
68,4.35,4.4
69,4.45,4.65
70,3.9,4.75
71,5,4.85
72,5,4.65
73,5,4.65
74,5,4.65
75,4.2,4.05
76,4.45,4.85
77,4.4,4.4
78,4.55,4.85
79,4.6,5
80,4.4,4.3
81,4.2,3.45
82,4.35,4.85
83,4.45,4.85
84,4.45,4.65
85,4.2,5
86,4.4,4.85
87,4.4,4.65
88,4.6,4.65
89,4.35,5
90,5,5
91,4.45,4.75
92,5,5
93,4.4,3.2
94,4.3,4.35
95,5,4.85
96,5,4.85
97,5,5
98,4.55,5
99,4.45,5
100,4.45,4.6
101,5,5
102,3.85,4.55
103,5,4.85
104,4.45,5
105,4.6,4.85
106,4.45,4.75
107,4.6,5
108,4.2,4.85
109,3.85,3.9
110,3.95,4.85
111,4.35,4.85
112,4.35,4.85
113,4.45,4.85
114,4.2,4.6
115,4.35,4.45
116,3.85,3.65
117,4.35,5
118,4.4,4.85
119,4.3,5
120,5,3.75
121,4.6,4.45
122,4.6,4.35
123,4.45,4.1
124,4.35,4.55
125,4.35,4.15
126,4.35,4.55
127,4.35,4.15
128,4.45,4.3
129,4.15,3.3
130,3.9,3.65
131,4.35,4.55
132,4.4,3.9
133,4.4,4.7
134,3.95,4.15
135,4.3,4.3
136,5,4.7
137,4.45,4.7
138,5,5
139,4.35,4.55
140,3.95,3.75
141,4.2,4.55
142,4.45,4.55
143,4.45,4.7
144,4.2,4.55
145,4.2,4.15
146,4.45,4.7
147,3.65,3.35
148,4.6,4.7
149,5,4.7
150,4.45,4.7
151,5,4.7
152,5,4.7
153,4.35,4.55
154,4.45,4.7
155,5,4.7
156,3.55,3.95
157,4.6,4.85
158,4.45,4.55
159,5,4.7
160,4.35,3.15
161,4.2,4.55
162,4.35,4.55
163,4.35,4.1
