Task Id,CodeBERTScore Precision,CodeBERTScore Recall,CodeBERTScore F1-score,CodeBERTScore F3-score
HumanEval/0,4.864417314529419,4.710667848587036,4.785982370376587,4.72549033164978
HumanEval/1,3.8960776329040527,4.243521690368652,4.059968709945679,4.20507025718689
HumanEval/2,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/3,4.80539345741272,4.9044201374053955,4.854270935058594,4.894286155700684
HumanEval/4,4.500453233718872,4.829260587692261,4.657481670379639,4.793625831604004
HumanEval/5,4.167101860046387,4.023477792739868,4.093624114990234,4.037251234054565
HumanEval/6,4.193429946899414,3.998654365539551,4.0929787158966064,4.017055988311768
HumanEval/7,4.551278829574585,4.555807828903198,4.553541898727417,4.555354118347168
HumanEval/8,4.291155815124512,4.486725330352783,4.38611912727356,4.466128826141357
HumanEval/9,3.970181465148926,4.178454875946045,4.070790767669678,4.156322240829468
HumanEval/10,4.021303653717041,4.4612040519714355,4.226328134536743,4.411532163619995
HumanEval/11,3.9950149059295654,4.417654514312744,4.192407608032227,4.370097637176514
HumanEval/12,4.643392324447632,4.667256116867065,4.655285358428955,4.664855480194092
HumanEval/13,4.497912645339966,4.127848148345947,4.302545785903931,4.161293268203735
HumanEval/14,4.235586643218994,4.616556406021118,4.415480613708496,4.574469327926636
HumanEval/15,4.477807998657227,4.753280878067017,4.610297441482544,4.723785161972046
HumanEval/16,3.6177635192871094,4.172425270080566,3.868527889251709,4.1066014766693115
HumanEval/17,3.9901392459869385,4.247931241989136,4.11370849609375,4.2201690673828125
HumanEval/18,4.1999125480651855,4.138187646865845,4.168749570846558,4.1442530155181885
HumanEval/19,4.017253875732422,3.838484048843384,3.925140380859375,3.8554022312164307
HumanEval/20,4.186414957046509,4.386755704879761,4.28353214263916,4.365595102310181
HumanEval/21,4.0846357345581055,4.222099781036377,4.151869535446167,4.207804203033447
HumanEval/22,4.526732921600342,4.477307558059692,4.501845836639404,4.482187747955322
HumanEval/23,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/24,4.667903423309326,4.713025093078613,4.690326452255249,4.708463430404663
HumanEval/25,4.264371156692505,4.45179009437561,4.355465650558472,4.432085275650024
HumanEval/26,4.55883264541626,4.2004053592681885,4.370115518569946,4.23296594619751
HumanEval/27,4.739410400390625,4.299511432647705,4.5057151317596436,4.3387885093688965
HumanEval/28,4.985807180404663,4.985807180404663,4.985807180404663,4.985806941986084
HumanEval/29,4.484292984008789,4.522876024246216,4.503478527069092,4.51897931098938
HumanEval/30,4.256319999694824,4.326023101806641,4.290802717208862,4.318918943405151
HumanEval/31,4.5312416553497314,4.297776460647583,4.410518169403076,4.3197243213653564
HumanEval/32,3.821572780609131,3.8391308784484863,3.830324649810791,3.8373653888702393
HumanEval/33,4.1626198291778564,4.523076772689819,4.333131551742554,4.483375072479248
HumanEval/34,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/35,5.000000476837158,5.000000476837158,5.000000476837158,5.000000476837158
HumanEval/36,4.264777421951294,4.37418270111084,4.3185789585113525,4.362913370132446
HumanEval/37,4.23659873008728,4.424530744552612,4.327913522720337,4.4047605991363525
HumanEval/38,4.52446174621582,4.789670705795288,4.652257919311523,4.761367082595825
HumanEval/39,4.183311223983765,4.0887157917022705,4.135300397872925,4.09792160987854
HumanEval/40,4.190242290496826,4.443773031234741,4.3121631145477295,4.416621208190918
HumanEval/41,2.8886935710906982,3.5932857990264893,3.1856067180633545,3.500020742416382
HumanEval/42,4.866689443588257,4.866689443588257,4.866689443588257,4.866689443588257
HumanEval/43,4.158286809921265,4.127790451049805,4.1429643630981445,4.1308135986328125
HumanEval/44,3.9185984134674072,4.437696933746338,4.156950950622559,4.377622842788696
HumanEval/45,4.708970308303833,4.708970308303833,4.708970308303833,4.708970308303833
HumanEval/46,4.079252243041992,4.205897331237793,4.141298770904541,4.192766189575195
HumanEval/47,4.402149677276611,4.546631813049316,4.472888708114624,4.5316338539123535
HumanEval/48,4.050079345703125,4.592563152313232,4.2991697788238525,4.529782772064209
HumanEval/49,4.309150457382202,4.352746248245239,4.330805778503418,4.348334789276123
HumanEval/50,4.95153021812439,4.932017803192139,4.9417500495910645,4.933960199356079
HumanEval/51,4.315006494522095,4.5218024253845215,4.415276765823364,4.499969244003296
HumanEval/52,4.839521646499634,4.839521646499634,4.839521646499634,4.839521646499634
HumanEval/53,5.0,5.0,5.0,5.0
HumanEval/54,4.257571458816528,4.507678508758545,4.378001689910889,4.480952739715576
HumanEval/55,4.3853209018707275,4.170131683349609,4.2741944789886475,4.190411806106567
HumanEval/56,4.16177225112915,4.061905384063721,4.111037492752075,4.071607351303101
HumanEval/57,4.201154947280884,4.43339729309082,4.313211441040039,4.408667802810669
HumanEval/58,4.836428165435791,4.778731346130371,4.807361125946045,4.784422397613525
HumanEval/59,4.381055593490601,4.30417799949646,4.342174768447876,4.311707973480225
HumanEval/60,4.3732686042785645,4.267912149429321,4.319754600524902,4.27815055847168
HumanEval/61,4.064284801483154,4.046281099319458,4.055256366729736,4.04807186126709
HumanEval/62,4.051332950592041,4.515723705291748,4.267108678817749,4.463019132614136
HumanEval/63,3.7308290004730225,4.232297420501709,3.9604780673980713,4.174012184143066
HumanEval/64,4.281839370727539,4.366852283477783,4.32380223274231,4.3581531047821045
HumanEval/65,4.1617960929870605,4.316574573516846,4.2373363971710205,4.300418138504028
HumanEval/66,4.810741424560547,4.824874639511108,4.8177947998046875,4.823456764221191
HumanEval/67,3.733612537384033,3.8972063064575195,3.813032865524292,3.8799712657928467
HumanEval/68,4.225851058959961,4.283650875091553,4.2544941902160645,4.277777910232544
HumanEval/69,3.990068197250366,4.285641193389893,4.130894422531128,4.253479957580566
HumanEval/70,3.669196128845215,3.8680739402770996,3.765063524246216,3.846862316131592
HumanEval/71,3.577411651611328,4.201703071594238,3.85583758354187,4.125986576080322
HumanEval/72,3.387223720550537,4.242758274078369,3.7499873638153076,4.13056492805481
